SubProduto;Resultado
null;0,0
subpaaa;1875092,4734786008
subpbbb;418010,674793172
subpccc;763415,8604999997
subpddd;4627094,962050072
subpeee;-3,637978807091713E-12
subpff;0,0
subpggg;133,14503450733002
subphhh;-1,4229692295315787E8
subpiii;1,6984136706275114E10
subpjjjj;2,7921312432132374E7
subpkkkk;1585,942226361001
subplll;3201,2176354000003
subpoooo;1,2556499391198187E10
subpqqq;-1,1214143136517662E8
subprrr;-3577,5081109500034
subpttt;59939,827853136616
subpwww;126808,37377432597
subpyyy;2,4908672650590003E7
